pixelID, ecoRegion, param, value
10000a,Romania,parDormancy_photoThermalThreshold,36.418
10000a,Romania,parEndodormancy_chillingThreshold,138.101
10000a,Romania,parEcodormancy_photoThermalThreshold,7.993
10000a,Romania,parGrowth_thermalThreshold,64.552
10000a,Romania,parGreendown_thermalThreshold,49.77
10000a,Romania,parSenescence_photoThermalThreshold,55.62
10000a,Romania,parVegetationIndex_nNDVIGrowth,1.652
10000a,Romania,parVegetationIndex_nNDVISenescence,0.715
10000a,Romania,parVegetationIndex_nNDVIGreendown,0.117
10000a,Romania,parVegetationIndex_nNDVIEcodormancy,3.036
10000a,Romania,parVegetationIndex_nNDVIEndodormancy,0.088
10000a,Romania,parVegetationIndex_pixelTemperatureShift,-3.073
10000a,Romania,parVegetationIndex_minimumNDVI,0.128
10000a,Romania,parVegetationIndex_maximumNDVI,0.902
