orchard_id,latitude,longitude,ndvi,year,doy,Municipality
X12,41.10728836,36.68497849,0.3604,2003,1,Samsun
X12,41.10728836,36.68497849,0.4191,2003,17,Samsun
X12,41.10728836,36.68497849,0.4028,2003,33,Samsun
X12,41.10728836,36.68497849,0.3658,2003,49,Samsun
X12,41.10728836,36.68497849,0.1515,2003,65,Samsun
X12,41.10728836,36.68497849,0.3793,2003,81,Samsun
X12,41.10728836,36.68497849,0.404,2003,97,Samsun
X12,41.10728836,36.68497849,0.4644,2003,113,Samsun
X12,41.10728836,36.68497849,0.5679,2003,129,Samsun
X12,41.10728836,36.68497849,0.6682,2003,145,Samsun
X12,41.10728836,36.68497849,0.6503,2003,161,Samsun
X12,41.10728836,36.68497849,0.7088,2003,177,Samsun
X12,41.10728836,36.68497849,0.7108,2003,193,Samsun
X12,41.10728836,36.68497849,0.6721,2003,209,Samsun
X12,41.10728836,36.68497849,0.694,2003,225,Samsun
X12,41.10728836,36.68497849,0.7179,2003,241,Samsun
X12,41.10728836,36.68497849,0.7616,2003,257,Samsun
X12,41.10728836,36.68497849,0.6513,2003,273,Samsun
X12,41.10728836,36.68497849,0.651,2003,289,Samsun
X12,41.10728836,36.68497849,0.5939,2003,305,Samsun
X12,41.10728836,36.68497849,0.5598,2003,321,Samsun
X12,41.10728836,36.68497849,0.4752,2003,337,Samsun
X12,41.10728836,36.68497849,0.4114,2003,353,Samsun
X12,41.10728836,36.68497849,0.4114,2004,1,Samsun
X12,41.10728836,36.68497849,0.4263,2004,17,Samsun
X12,41.10728836,36.68497849,0.4272,2004,33,Samsun
X12,41.10728836,36.68497849,0.4216,2004,49,Samsun
X12,41.10728836,36.68497849,0.4523,2004,65,Samsun
X12,41.10728836,36.68497849,0.5565,2004,81,Samsun
X12,41.10728836,36.68497849,0.5941,2004,97,Samsun
X12,41.10728836,36.68497849,0.6855,2004,113,Samsun
X12,41.10728836,36.68497849,0.7008,2004,129,Samsun
X12,41.10728836,36.68497849,0.7733,2004,145,Samsun
X12,41.10728836,36.68497849,0.7442,2004,161,Samsun
X12,41.10728836,36.68497849,0.7773,2004,177,Samsun
X12,41.10728836,36.68497849,0.7049,2004,193,Samsun
X12,41.10728836,36.68497849,0.728,2004,209,Samsun
X12,41.10728836,36.68497849,0.7489,2004,225,Samsun
X12,41.10728836,36.68497849,0.769,2004,241,Samsun
X12,41.10728836,36.68497849,0.7185,2004,257,Samsun
X12,41.10728836,36.68497849,0.7042,2004,273,Samsun
X12,41.10728836,36.68497849,0.6834,2004,289,Samsun
X12,41.10728836,36.68497849,0.6225,2004,305,Samsun
