group,class,param,mean,sd
Pannonian mixed forests,parDormancy,limitingPhotoperiod,12,0
Pannonian mixed forests,parDormancy,notLimitingPhotoperiod,12,0
Pannonian mixed forests,parDormancy,limitingTemperature,18,0
Pannonian mixed forests,parDormancy,notLimitingTemperature,4.33333333333333,0
Pannonian mixed forests,parDormancy,photoThermalThreshold,24,0
Pannonian mixed forests,parEndodormancy,limitingLowerTemperature,-2,0
Pannonian mixed forests,parEndodormancy,notLimitingLowerTemperature,5.5,0
Pannonian mixed forests,parEndodormancy,notLimitingUpperTemperature,1.5,0
Pannonian mixed forests,parEndodormancy,limitingUpperTemperature,9.33333333333333,0
Pannonian mixed forests,parEndodormancy,chillingThreshold,115.333333333333,0
Pannonian mixed forests,parEcodormancy,notLimitingTemperature,22.4,0
Pannonian mixed forests,parEcodormancy,notLimitingPhotoperiod,11.3333333333333,0
Pannonian mixed forests,parEcodormancy,photoThermalThreshold,10.2666666666667,0
Pannonian mixed forests,parGrowth,minimumTemperature,4.16666666666667,0
Pannonian mixed forests,parGrowth,optimumTemperature,16,0
Pannonian mixed forests,parGrowth,maximumTemperature,32,0
Pannonian mixed forests,parGrowth,thermalThreshold,46.6666666666667,0
Pannonian mixed forests,parGreendown,thermalThreshold,85.3333333333333,0
Pannonian mixed forests,parSenescence,limitingPhotoperiod,12,0
Pannonian mixed forests,parSenescence,notLimitingPhotoperiod,10,0
Pannonian mixed forests,parSenescence,limitingTemperature,20.6666666666667,0
Pannonian mixed forests,parSenescence,notLimitingTemperature,3,0
Pannonian mixed forests,parSenescence,photoThermalThreshold,54,0
Pannonian mixed forests,parVegetationIndex,nNDVIGrowth,2.88,0
Pannonian mixed forests,parVegetationIndex,nNDVISenescence,0.345333333333333,0
Pannonian mixed forests,parVegetationIndex,nNDVIGreendown,0.084,0
Pannonian mixed forests,parVegetationIndex,nNDVIEcodormancy,1.35466666666667,0
Pannonian mixed forests,parVegetationIndex,nNDVIEndodormancy,0.289333333333333,0
Pannonian mixed forests,parVegetationIndex,pixelTemperatureShift,-2,0
Pannonian mixed forests,parVegetationIndex,minimumNDVI,0.2,0
Pannonian mixed forests,parVegetationIndex,maximumNDVI,0.95,0
