id,COUNTRY,X,Y,DEM,ECO_NAME,BIOME_NAME,REALM,ECO_BIOME_
6193a,Greece,5403000,1950500,981,Aegean and Western Turkey sclerophyllous and mixed forests,"Mediterranean Forests, Woodlands & Scrub",Palearctic,PA12
6199a,Greece,5387500,1966000,929,Aegean and Western Turkey sclerophyllous and mixed forests,"Mediterranean Forests, Woodlands & Scrub",Palearctic,PA12
10303a,Bulgaria,5415000,2121500,1161,Aegean and Western Turkey sclerophyllous and mixed forests,"Mediterranean Forests, Woodlands & Scrub",Palearctic,PA12
1a,Italy,4411500,2506500,1242,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
2a,Italy,4103500,2442500,1419,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
5a,Italy,4116500,2474500,1367,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6a,Italy,4147500,2346500,1190,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
15a,Italy,4423500,2527500,1008,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
34a,Italy,4409500,2505500,960,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
37a,Italy,4291500,2537500,998,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
38a,Italy,4464500,2537500,1140,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
44a,Italy,4263500,2558500,721,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
50a,Italy,4421500,2526500,1048,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
51a,Italy,4113500,2462500,873,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
52a,Italy,4106500,2462500,1659,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
64a,Italy,4102500,2387500,1259,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
68a,Italy,4409500,2504500,1145,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
72a,Italy,4427500,2600500,781,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
