species,class,parameter,min,max,value,calibration
beech,parDormancy,limitingPhotoperiod,12.7,13.5,13,
beech,parDormancy,notLimitingPhotoperiod,12,12.7,12,
beech,parDormancy,limitingTemperature,14,27,20,
beech,parDormancy,notLimitingTemperature,2,8,5,
beech,parDormancy,photoThermalThreshold,20,50,10,x
beech,parEndodormancy,limitingLowerTemperature,-10,-3,-3.4,
beech,parEndodormancy,notLimitingLowerTemperature,-4,-1,3.5,
beech,parEndodormancy,notLimitingUpperTemperature,2,6,3.5,
beech,parEndodormancy,limitingUpperTemperature,6,9,10.4,
beech,parEndodormancy,chillingThreshold,70,180,70,x
beech,parEcodormancy,notLimitingTemperature,18,24,21,
beech,parEcodormancy,notLimitingPhotoperiod,9.5,12.5,11,
beech,parEcodormancy,photoThermalThreshold,5,25,40,x
beech,parGrowth,minimumTemperature,1,6,3.5,
beech,parGrowth,optimumTemperature,15,24,18,
beech,parGrowth,maximumTemperature,31,38,30,
beech,parGrowth,thermalThreshold,30,70,25,x
beech,parGreendown,thermalThreshold,45,110,50,x
beech,parSenescence,limitingPhotoperiod,12.7,13.5,13,
beech,parSenescence,notLimitingPhotoperiod,12,12.7,12,
beech,parSenescence,limitingTemperature,14,22,20,
beech,parSenescence,notLimitingTemperature,2,8,5,
beech,parSenescence,photoThermalThreshold,40,90,40,x
beech,parVegetationIndex,nNDVIGrowth,0.3,3,1,x
beech,parVegetationIndex,nNDVISenescence,0.1,2,1,x
beech,parVegetationIndex,nNDVIGreendown,0.01,0.45,0.2,x
beech,parVegetationIndex,nNDVIEcodormancy,0.5,3.3,2,x
beech,parVegetationIndex,nNDVIEndodormancy,0.005,2,0.5,x
beech,parVegetationIndex,pixelTemperatureShift,-4,4,2,x
beech,parVegetationIndex,minimumNDVI,0,0.14,2,x
beech,parVegetationIndex,maximumNDVI,0.6,0.95,2,x
