"param","class","ECO_NAME","value","cv"
"maximumVI","parVegetationIndex","Alps conifer and mixed forests",0.857638020611517,0.0396630972997092
"maximumVI","parVegetationIndex","Appenine deciduous montane forests",0.860134266104517,0.0366680036681722
"maximumVI","parVegetationIndex","Balkan mixed forests",0.867970080829788,0.0312833184780362
"maximumVI","parVegetationIndex","Baltic mixed forests",0.83350342812028,0.0427559606007953
"maximumVI","parVegetationIndex","Cantabrian mixed forests",0.854635928770686,0.0427734976917466
"maximumVI","parVegetationIndex","Carpathian montane forests",0.871975121911113,0.0306276823181671
"maximumVI","parVegetationIndex","Celtic broadleaf forests",0.836814369756354,NA
"maximumVI","parVegetationIndex","Central European mixed forests",0.871497486575578,0.0419910706660618
"maximumVI","parVegetationIndex","Corsican montane broadleaf and mixed forests",0.7629369720489,0.0583800164396941
"maximumVI","parVegetationIndex","Dinaric Mountains mixed forests",0.839342742509166,0.0658928904409336
"maximumVI","parVegetationIndex","East European forest steppe",0.894980164275606,NA
"maximumVI","parVegetationIndex","English Lowlands beech forests",0.790485987424972,0.0449013081707343
"maximumVI","parVegetationIndex","European Atlantic mixed forests",0.832386226946376,0.0508470794844586
"maximumVI","parVegetationIndex","Italian sclerophyllous and semi-deciduous forests",0.870167742691994,0.0334101666684635
"maximumVI","parVegetationIndex","Northeast Spain and Southern France Mediterranean forests",0.830124634062056,0.0435804428246567
"maximumVI","parVegetationIndex","Northwest Iberian montane forests",0.825890333676674,0.0457065497794544
"maximumVI","parVegetationIndex","Pannonian mixed forests",0.885732503263887,0.0267907170078382
"maximumVI","parVegetationIndex","Po Basin mixed forests",0.844357204948412,NA
"maximumVI","parVegetationIndex","Pyrenees conifer and mixed forests",0.852563097015705,0.0416208285741924
"maximumVI","parVegetationIndex","Rodope montane mixed forests",0.866189022818474,0.0376764517601624
"maximumVI","parVegetationIndex","Sarmatic mixed forests",0.809518650201374,0.0287499899358402
"maximumVI","parVegetationIndex","South Apennine mixed montane forests",0.845761227463599,0.0480737469729675
"maximumVI","parVegetationIndex","Tyrrhenian-Adriatic sclerophyllous and mixed forests",0.83780242748731,0.0505569689681103
"maximumVI","parVegetationIndex","Western European broadleaf forests",0.845192073304146,0.0438682283027504
"criticalThresholdSenescence","parSenescence","Alps conifer and mixed forests",67.8216313182498,10.0534671682148
"criticalThresholdSenescence","parSenescence","Appenine deciduous montane forests",67.5470477138725,10.1915747375884
"criticalThresholdSenescence","parSenescence","Balkan mixed forests",66.9089428272659,7.33962524232608
"criticalThresholdSenescence","parSenescence","Baltic mixed forests",66.7313518151404,10.1818040194465
"criticalThresholdSenescence","parSenescence","Cantabrian mixed forests",67.1661212674607,11.0000982546339
"criticalThresholdSenescence","parSenescence","Carpathian montane forests",67.9952676074907,10.1369639147713
"criticalThresholdSenescence","parSenescence","Celtic broadleaf forests",53.1684036820107,NA
"criticalThresholdSenescence","parSenescence","Central European mixed forests",66.0864948600356,10.1304734303901
"criticalThresholdSenescence","parSenescence","Corsican montane broadleaf and mixed forests",71.659886521442,12.2186991539348
"criticalThresholdSenescence","parSenescence","Dinaric Mountains mixed forests",68.3866364300549,6.88978774383928
"criticalThresholdSenescence","parSenescence","East European forest steppe",56.4554808295456,NA
"criticalThresholdSenescence","parSenescence","English Lowlands beech forests",66.3399744790268,11.5553771022127
"criticalThresholdSenescence","parSenescence","European Atlantic mixed forests",68.3450360737385,9.97519652033255
"criticalThresholdSenescence","parSenescence","Italian sclerophyllous and semi-deciduous forests",66.7702014116264,11.3154657467726
"criticalThresholdSenescence","parSenescence","Northeast Spain and Southern France Mediterranean forests",66.4761544603659,11.5272511795331
"criticalThresholdSenescence","parSenescence","Northwest Iberian montane forests",65.8088878724656,10.7575872446434
"criticalThresholdSenescence","parSenescence","Pannonian mixed forests",67.5494907680905,9.92516845986943
"criticalThresholdSenescence","parSenescence","Po Basin mixed forests",74.6484631169069,NA
"criticalThresholdSenescence","parSenescence","Pyrenees conifer and mixed forests",67.9018392146017,11.2553551904408
"criticalThresholdSenescence","parSenescence","Rodope montane mixed forests",65.0400199502037,10.6096564458064
"criticalThresholdSenescence","parSenescence","Sarmatic mixed forests",59.8416913204028,4.88504947524384
"criticalThresholdSenescence","parSenescence","South Apennine mixed montane forests",69.639811899098,9.94357881664537
"criticalThresholdSenescence","parSenescence","Tyrrhenian-Adriatic sclerophyllous and mixed forests",66.1883451651862,8.65156252329408
"criticalThresholdSenescence","parSenescence","Western European broadleaf forests",65.6564303414665,10.4041252175373
"criticalThresholdDormancyInduction","parDormancy","Alps conifer and mixed forests",30.4979790715338,10.0907738267579
"criticalThresholdDormancyInduction","parDormancy","Appenine deciduous montane forests",32.3888752696823,10.2464257605378
"criticalThresholdDormancyInduction","parDormancy","Balkan mixed forests",29.1210354841666,7.77243340088902
"criticalThresholdDormancyInduction","parDormancy","Baltic mixed forests",29.9444145803522,9.82896712195171
"criticalThresholdDormancyInduction","parDormancy","Cantabrian mixed forests",34.3242750741741,10.9324874272053
"criticalThresholdDormancyInduction","parDormancy","Carpathian montane forests",29.45647814434,10.2294599078898
"criticalThresholdDormancyInduction","parDormancy","Celtic broadleaf forests",13.5579215239931,NA
"criticalThresholdDormancyInduction","parDormancy","Central European mixed forests",30.4033482627698,9.535088784918
"criticalThresholdDormancyInduction","parDormancy","Corsican montane broadleaf and mixed forests",28.7386082775813,10.536938500942
"criticalThresholdDormancyInduction","parDormancy","Dinaric Mountains mixed forests",27.921113978487,4.52778015904508
