id,country,year,doy,long,lat,evi_sg
10000a,Romania,2003,1,26.02180361,45.3491038,0.1988
10000a,Romania,2003,17,26.02180361,45.3491038,0.1753
10000a,Romania,2003,33,26.02180361,45.3491038,0.2639
10000a,Romania,2003,49,26.02180361,45.3491038,0.2537
10000a,Romania,2003,65,26.02180361,45.3491038,0.2591
10000a,Romania,2003,81,26.02180361,45.3491038,0.3512
10000a,Romania,2003,97,26.02180361,45.3491038,0.3282
10000a,Romania,2003,113,26.02180361,45.3491038,0.6131
10000a,Romania,2003,129,26.02180361,45.3491038,0.6473
10000a,Romania,2003,145,26.02180361,45.3491038,0.715
10000a,Romania,2003,161,26.02180361,45.3491038,0.6558
10000a,Romania,2003,177,26.02180361,45.3491038,0.6125
10000a,Romania,2003,193,26.02180361,45.3491038,0.4701
10000a,Romania,2003,209,26.02180361,45.3491038,0.5188
10000a,Romania,2003,225,26.02180361,45.3491038,0.4022
10000a,Romania,2003,241,26.02180361,45.3491038,0.3645
10000a,Romania,2003,257,26.02180361,45.3491038,0.4915
10000a,Romania,2003,273,26.02180361,45.3491038,0.4332
10000a,Romania,2003,289,26.02180361,45.3491038,0.4593
10000a,Romania,2003,305,26.02180361,45.3491038,0.3371
10000a,Romania,2003,321,26.02180361,45.3491038,0.2328
10000a,Romania,2003,337,26.02180361,45.3491038,0.2889
10000a,Romania,2003,353,26.02180361,45.3491038,0.25955
10000a,Romania,2004,1,26.02180361,45.3491038,0.2302
10000a,Romania,2004,17,26.02180361,45.3491038,0.2477
10000a,Romania,2004,33,26.02180361,45.3491038,0.2543
10000a,Romania,2004,49,26.02180361,45.3491038,0.24755
10000a,Romania,2004,65,26.02180361,45.3491038,0.2408
10000a,Romania,2004,81,26.02180361,45.3491038,0.2731
10000a,Romania,2004,97,26.02180361,45.3491038,0.3054
10000a,Romania,2004,113,26.02180361,45.3491038,0.3419
10000a,Romania,2004,129,26.02180361,45.3491038,0.4643
10000a,Romania,2004,145,26.02180361,45.3491038,0.6021
10000a,Romania,2004,161,26.02180361,45.3491038,0.6371
10000a,Romania,2004,177,26.02180361,45.3491038,0.5574
10000a,Romania,2004,193,26.02180361,45.3491038,0.6275
10000a,Romania,2004,209,26.02180361,45.3491038,0.5292
10000a,Romania,2004,225,26.02180361,45.3491038,0.503
10000a,Romania,2004,241,26.02180361,45.3491038,0.3815
10000a,Romania,2004,257,26.02180361,45.3491038,0.4785
10000a,Romania,2004,273,26.02180361,45.3491038,0.3831
10000a,Romania,2004,289,26.02180361,45.3491038,0.4784
10000a,Romania,2004,305,26.02180361,45.3491038,0.3268
10000a,Romania,2004,321,26.02180361,45.3491038,0.3457
10000a,Romania,2004,337,26.02180361,45.3491038,0.2854
10000a,Romania,2004,353,26.02180361,45.3491038,0.3018
10000a,Romania,2005,1,26.02180361,45.3491038,0.2033
10000a,Romania,2005,17,26.02180361,45.3491038,0.18675
10000a,Romania,2005,33,26.02180361,45.3491038,0.1702
10000a,Romania,2005,49,26.02180361,45.3491038,0.1954
10000a,Romania,2005,65,26.02180361,45.3491038,0.2206
10000a,Romania,2005,81,26.02180361,45.3491038,0.2601
10000a,Romania,2005,97,26.02180361,45.3491038,0.0468
10000a,Romania,2005,113,26.02180361,45.3491038,0.5007
10000a,Romania,2005,129,26.02180361,45.3491038,0.6387
10000a,Romania,2005,145,26.02180361,45.3491038,0.6525
10000a,Romania,2005,161,26.02180361,45.3491038,0.6564
10000a,Romania,2005,177,26.02180361,45.3491038,0.5512
10000a,Romania,2005,193,26.02180361,45.3491038,0.6311
10000a,Romania,2005,209,26.02180361,45.3491038,0.6171
10000a,Romania,2005,225,26.02180361,45.3491038,0.4752
10000a,Romania,2005,241,26.02180361,45.3491038,0.5485
10000a,Romania,2005,257,26.02180361,45.3491038,0.4481
10000a,Romania,2005,273,26.02180361,45.3491038,0.3842
10000a,Romania,2005,289,26.02180361,45.3491038,0.2355
10000a,Romania,2005,305,26.02180361,45.3491038,0.2744
10000a,Romania,2005,321,26.02180361,45.3491038,0.2905
10000a,Romania,2005,337,26.02180361,45.3491038,0.3854
10000a,Romania,2005,353,26.02180361,45.3491038,0.3586
10000a,Romania,2006,1,26.02180361,45.3491038,0.1659
10000a,Romania,2006,17,26.02180361,45.3491038,0.1982
10000a,Romania,2006,33,26.02180361,45.3491038,0.2362
10000a,Romania,2006,49,26.02180361,45.3491038,0.2115
10000a,Romania,2006,65,26.02180361,45.3491038,0.2238
10000a,Romania,2006,81,26.02180361,45.3491038,0.2717
10000a,Romania,2006,97,26.02180361,45.3491038,0.2752
10000a,Romania,2006,113,26.02180361,45.3491038,0.4924
10000a,Romania,2006,129,26.02180361,45.3491038,0.4513
10000a,Romania,2006,145,26.02180361,45.3491038,0.6471
10000a,Romania,2006,161,26.02180361,45.3491038,0.5774
10000a,Romania,2006,177,26.02180361,45.3491038,0.6534
10000a,Romania,2006,193,26.02180361,45.3491038,0.6503
10000a,Romania,2006,209,26.02180361,45.3491038,0.5451
10000a,Romania,2006,225,26.02180361,45.3491038,0.5003
10000a,Romania,2006,241,26.02180361,45.3491038,0.5251
10000a,Romania,2006,257,26.02180361,45.3491038,0.4688
10000a,Romania,2006,273,26.02180361,45.3491038,0.4105
10000a,Romania,2006,289,26.02180361,45.3491038,0.3645
10000a,Romania,2006,305,26.02180361,45.3491038,0.3071
10000a,Romania,2006,321,26.02180361,45.3491038,0.3221
10000a,Romania,2006,337,26.02180361,45.3491038,0.3331
10000a,Romania,2006,353,26.02180361,45.3491038,0.2455
10000a,Romania,2007,1,26.02180361,45.3491038,0.1387
10000a,Romania,2007,17,26.02180361,45.3491038,0.2225
10000a,Romania,2007,33,26.02180361,45.3491038,0.2125
10000a,Romania,2007,49,26.02180361,45.3491038,0.2518
10000a,Romania,2007,65,26.02180361,45.3491038,0.2501
10000a,Romania,2007,81,26.02180361,45.3491038,0.30035
10000a,Romania,2007,97,26.02180361,45.3491038,0.3506
10000a,Romania,2007,113,26.02180361,45.3491038,0.5396
10000a,Romania,2007,129,26.02180361,45.3491038,0.5204
10000a,Romania,2007,145,26.02180361,45.3491038,0.5918
10000a,Romania,2007,161,26.02180361,45.3491038,0.5711
10000a,Romania,2007,177,26.02180361,45.3491038,0.5905
10000a,Romania,2007,193,26.02180361,45.3491038,0.6149
10000a,Romania,2007,209,26.02180361,45.3491038,0.6744
10000a,Romania,2007,225,26.02180361,45.3491038,0.492
10000a,Romania,2007,241,26.02180361,45.3491038,0.4291
10000a,Romania,2007,257,26.02180361,45.3491038,0.4409
10000a,Romania,2007,273,26.02180361,45.3491038,0.411
10000a,Romania,2007,289,26.02180361,45.3491038,0.3704
10000a,Romania,2007,305,26.02180361,45.3491038,0.3104
10000a,Romania,2007,321,26.02180361,45.3491038,0.3076
10000a,Romania,2007,337,26.02180361,45.3491038,0.2955
10000a,Romania,2007,353,26.02180361,45.3491038,0.2822
10000a,Romania,2008,1,26.02180361,45.3491038,0.2404
10000a,Romania,2008,17,26.02180361,45.3491038,0.2345
10000a,Romania,2008,33,26.02180361,45.3491038,0.2369
10000a,Romania,2008,49,26.02180361,45.3491038,0.2726
10000a,Romania,2008,65,26.02180361,45.3491038,0.3517
10000a,Romania,2008,81,26.02180361,45.3491038,0.2442
10000a,Romania,2008,97,26.02180361,45.3491038,0.3197
10000a,Romania,2008,113,26.02180361,45.3491038,0.4547
10000a,Romania,2008,129,26.02180361,45.3491038,0.5329
10000a,Romania,2008,145,26.02180361,45.3491038,0.71
10000a,Romania,2008,161,26.02180361,45.3491038,0.596
10000a,Romania,2008,177,26.02180361,45.3491038,0.7125
10000a,Romania,2008,193,26.02180361,45.3491038,0.5702
10000a,Romania,2008,209,26.02180361,45.3491038,0.6225
10000a,Romania,2008,225,26.02180361,45.3491038,0.5989
10000a,Romania,2008,241,26.02180361,45.3491038,0.547
10000a,Romania,2008,257,26.02180361,45.3491038,0.3893
10000a,Romania,2008,273,26.02180361,45.3491038,0.4361
10000a,Romania,2008,289,26.02180361,45.3491038,0.3769
10000a,Romania,2008,305,26.02180361,45.3491038,0.2207
10000a,Romania,2008,321,26.02180361,45.3491038,0.0645
10000a,Romania,2008,337,26.02180361,45.3491038,0.18215
10000a,Romania,2008,353,26.02180361,45.3491038,0.2998
10000a,Romania,2009,1,26.02180361,45.3491038,0.0995
10000a,Romania,2009,17,26.02180361,45.3491038,0.1526
10000a,Romania,2009,33,26.02180361,45.3491038,0.2136
10000a,Romania,2009,49,26.02180361,45.3491038,0.2501
10000a,Romania,2009,65,26.02180361,45.3491038,0.2663
10000a,Romania,2009,81,26.02180361,45.3491038,0.2611
10000a,Romania,2009,97,26.02180361,45.3491038,0.3526
10000a,Romania,2009,113,26.02180361,45.3491038,0.4841
10000a,Romania,2009,129,26.02180361,45.3491038,0.5047
10000a,Romania,2009,145,26.02180361,45.3491038,0.6326
10000a,Romania,2009,161,26.02180361,45.3491038,0.6662
10000a,Romania,2009,177,26.02180361,45.3491038,0.5573
10000a,Romania,2009,193,26.02180361,45.3491038,0.7525
10000a,Romania,2009,209,26.02180361,45.3491038,0.4842
10000a,Romania,2009,225,26.02180361,45.3491038,0.6216
10000a,Romania,2009,241,26.02180361,45.3491038,0.5045
10000a,Romania,2009,257,26.02180361,45.3491038,0.4169
10000a,Romania,2009,273,26.02180361,45.3491038,0.4941
10000a,Romania,2009,289,26.02180361,45.3491038,0.3854
10000a,Romania,2009,305,26.02180361,45.3491038,0.2972
10000a,Romania,2009,321,26.02180361,45.3491038,0.2717
10000a,Romania,2009,337,26.02180361,45.3491038,0.4578
10000a,Romania,2009,353,26.02180361,45.3491038,0.3705
10000a,Romania,2010,1,26.02180361,45.3491038,0.335066667
10000a,Romania,2010,17,26.02180361,45.3491038,0.299633333
10000a,Romania,2010,33,26.02180361,45.3491038,0.2642
10000a,Romania,2010,49,26.02180361,45.3491038,0.27
10000a,Romania,2010,65,26.02180361,45.3491038,0.2758
10000a,Romania,2010,81,26.02180361,45.3491038,0.3511
10000a,Romania,2010,97,26.02180361,45.3491038,0.3519
10000a,Romania,2010,113,26.02180361,45.3491038,0.4107
10000a,Romania,2010,129,26.02180361,45.3491038,0.6335
10000a,Romania,2010,145,26.02180361,45.3491038,0.5826
10000a,Romania,2010,161,26.02180361,45.3491038,0.635
10000a,Romania,2010,177,26.02180361,45.3491038,0.5301
10000a,Romania,2010,193,26.02180361,45.3491038,0.6118
10000a,Romania,2010,209,26.02180361,45.3491038,0.5137
10000a,Romania,2010,225,26.02180361,45.3491038,0.519
10000a,Romania,2010,241,26.02180361,45.3491038,0.4271
10000a,Romania,2010,257,26.02180361,45.3491038,0.4964
10000a,Romania,2010,273,26.02180361,45.3491038,0.3818
10000a,Romania,2010,289,26.02180361,45.3491038,0.3288
10000a,Romania,2010,305,26.02180361,45.3491038,0.2282
10000a,Romania,2010,321,26.02180361,45.3491038,0.2554
10000a,Romania,2010,337,26.02180361,45.3491038,0.2826
10000a,Romania,2010,353,26.02180361,45.3491038,0.1239
10000a,Romania,2011,1,26.02180361,45.3491038,0.2063
10000a,Romania,2011,17,26.02180361,45.3491038,0.218
10000a,Romania,2011,33,26.02180361,45.3491038,0.2217
10000a,Romania,2011,49,26.02180361,45.3491038,0.2597
10000a,Romania,2011,65,26.02180361,45.3491038,0.2979
10000a,Romania,2011,81,26.02180361,45.3491038,0.2727
10000a,Romania,2011,97,26.02180361,45.3491038,0.3921
10000a,Romania,2011,113,26.02180361,45.3491038,0.627
10000a,Romania,2011,129,26.02180361,45.3491038,0.7017
10000a,Romania,2011,145,26.02180361,45.3491038,0.7172
10000a,Romania,2011,161,26.02180361,45.3491038,0.5825
10000a,Romania,2011,177,26.02180361,45.3491038,0.5296
10000a,Romania,2011,193,26.02180361,45.3491038,0.6952
10000a,Romania,2011,209,26.02180361,45.3491038,0.4981
10000a,Romania,2011,225,26.02180361,45.3491038,0.49
10000a,Romania,2011,241,26.02180361,45.3491038,0.5248
10000a,Romania,2011,257,26.02180361,45.3491038,0.3841
10000a,Romania,2011,273,26.02180361,45.3491038,0.3704
10000a,Romania,2011,289,26.02180361,45.3491038,0.3205
10000a,Romania,2011,305,26.02180361,45.3491038,0.2458
10000a,Romania,2011,321,26.02180361,45.3491038,0.2643
10000a,Romania,2011,337,26.02180361,45.3491038,0.3168
10000a,Romania,2011,353,26.02180361,45.3491038,0.2618
10000a,Romania,2012,1,26.02180361,45.3491038,0.1841
10000a,Romania,2012,17,26.02180361,45.3491038,0.1987
10000a,Romania,2012,33,26.02180361,45.3491038,0.2012
10000a,Romania,2012,49,26.02180361,45.3491038,0.2037
10000a,Romania,2012,65,26.02180361,45.3491038,0.2521
10000a,Romania,2012,81,26.02180361,45.3491038,0.2887
10000a,Romania,2012,97,26.02180361,45.3491038,0.2965
10000a,Romania,2012,113,26.02180361,45.3491038,0.3645
10000a,Romania,2012,129,26.02180361,45.3491038,0.653
10000a,Romania,2012,145,26.02180361,45.3491038,0.6797
10000a,Romania,2012,161,26.02180361,45.3491038,0.6912
10000a,Romania,2012,177,26.02180361,45.3491038,0.5875
10000a,Romania,2012,193,26.02180361,45.3491038,0.5546
10000a,Romania,2012,209,26.02180361,45.3491038,0.5984
10000a,Romania,2012,225,26.02180361,45.3491038,0.5618
10000a,Romania,2012,241,26.02180361,45.3491038,0.4343
10000a,Romania,2012,257,26.02180361,45.3491038,0.4628
10000a,Romania,2012,273,26.02180361,45.3491038,0.4935
10000a,Romania,2012,289,26.02180361,45.3491038,0.3581
10000a,Romania,2012,305,26.02180361,45.3491038,0.3284
10000a,Romania,2012,321,26.02180361,45.3491038,0.2679
10000a,Romania,2012,337,26.02180361,45.3491038,0.3613
10000a,Romania,2012,353,26.02180361,45.3491038,0.2616
10000a,Romania,2013,1,26.02180361,45.3491038,0.187
10000a,Romania,2013,17,26.02180361,45.3491038,0.2555
10000a,Romania,2013,33,26.02180361,45.3491038,0.2519
10000a,Romania,2013,49,26.02180361,45.3491038,0.2483
10000a,Romania,2013,65,26.02180361,45.3491038,0.2837
10000a,Romania,2013,81,26.02180361,45.3491038,0.2628
10000a,Romania,2013,97,26.02180361,45.3491038,0.2711
10000a,Romania,2013,113,26.02180361,45.3491038,0.3889
10000a,Romania,2013,129,26.02180361,45.3491038,0.492
10000a,Romania,2013,145,26.02180361,45.3491038,0.5412
10000a,Romania,2013,161,26.02180361,45.3491038,0.6393
10000a,Romania,2013,177,26.02180361,45.3491038,0.6186
10000a,Romania,2013,193,26.02180361,45.3491038,0.6516
10000a,Romania,2013,209,26.02180361,45.3491038,0.5493
10000a,Romania,2013,225,26.02180361,45.3491038,0.5477
10000a,Romania,2013,241,26.02180361,45.3491038,0.5564
10000a,Romania,2013,257,26.02180361,45.3491038,0.4782
10000a,Romania,2013,273,26.02180361,45.3491038,0.4623
10000a,Romania,2013,289,26.02180361,45.3491038,0.337
10000a,Romania,2013,305,26.02180361,45.3491038,0.1256
10000a,Romania,2013,321,26.02180361,45.3491038,0.2044
10000a,Romania,2013,337,26.02180361,45.3491038,0.2216
10000a,Romania,2013,353,26.02180361,45.3491038,0.1747
10000a,Romania,2014,1,26.02180361,45.3491038,0.1278
10000a,Romania,2014,17,26.02180361,45.3491038,0.1734
10000a,Romania,2014,33,26.02180361,45.3491038,0.219
10000a,Romania,2014,49,26.02180361,45.3491038,0.2272
10000a,Romania,2014,65,26.02180361,45.3491038,0.2354
10000a,Romania,2014,81,26.02180361,45.3491038,0.3817
10000a,Romania,2014,97,26.02180361,45.3491038,0.3946
10000a,Romania,2014,113,26.02180361,45.3491038,0.5789
10000a,Romania,2014,129,26.02180361,45.3491038,0.601
10000a,Romania,2014,145,26.02180361,45.3491038,0.6141
10000a,Romania,2014,161,26.02180361,45.3491038,0.6823
10000a,Romania,2014,177,26.02180361,45.3491038,0.5716
10000a,Romania,2014,193,26.02180361,45.3491038,0.6845
10000a,Romania,2014,209,26.02180361,45.3491038,0.5046
10000a,Romania,2014,225,26.02180361,45.3491038,0.6443
10000a,Romania,2014,241,26.02180361,45.3491038,0.4881
10000a,Romania,2014,257,26.02180361,45.3491038,0.4803
10000a,Romania,2014,273,26.02180361,45.3491038,0.5053
10000a,Romania,2014,289,26.02180361,45.3491038,0.3862
10000a,Romania,2014,305,26.02180361,45.3491038,0.324
10000a,Romania,2014,321,26.02180361,45.3491038,0.3255
10000a,Romania,2014,337,26.02180361,45.3491038,0.1925
10000a,Romania,2014,353,26.02180361,45.3491038,0.2274
10000a,Romania,2015,1,26.02180361,45.3491038,0.1682
10000a,Romania,2015,17,26.02180361,45.3491038,0.14135
10000a,Romania,2015,33,26.02180361,45.3491038,0.1145
10000a,Romania,2015,49,26.02180361,45.3491038,0.2249
10000a,Romania,2015,65,26.02180361,45.3491038,0.2964
10000a,Romania,2015,81,26.02180361,45.3491038,0.2797
10000a,Romania,2015,97,26.02180361,45.3491038,0.3021
